code	orthography	IPA
pwfi	¿La cítara se toca con pánico fiˈnito?	la ˈƟitaɾa se ˈtoka kom ˈpaniko fiˈnito
pwfa	La cítara se toca con pánico fiˈnito.	la ˈƟitaɾa se ˈtoka kom ˈpaniko fiˈnito
pwgi	¿La cítara se toca con obsesión y con amor?	la ˈƟitaɾa se ˈtoka kon oseˈsjon i kon aˈmoɾ
pwga	La cítara se toca con obsesión y con amor.	la ˈƟitaɾa se ˈtoka kon oseˈsjon i kon aˈmoɾ
pwji	¿La cítara se toca con obsesión práctica?	la ˈƟitaɾa se ˈtoka kon oseˈsjon ˈpɾatika
pwja	La cítara se toca con obsesión práctica.	la ˈƟitaɾa se ˈtoka kon oseˈsjon ˈpɾatika
pwki	¿La cítara se toca con obsesión?	la ˈƟitaɾa se ˈtoka kon oseˈsjon
pwka	La cítara se toca con obsesión.	la ˈƟitaɾa se ˈtoka kon oseˈsjon
pwpi	¿La cítara se toca con pánico?	la ˈƟitaɾa se ˈtoka kom ˈpaniko
pwpa	La cítara se toca con pánico.	la ˈƟitaɾa se ˈtoka kom ˈpaniko
pwsi	¿La cítara se toca con paciencia finita?	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja fiˈnita
pwsa	La cítara se toca con paciencia finita.	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja fiˈnita
pwti	¿La cítara se toca con paciencia?	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja
pwta	La cítara se toca con paciencia.	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja
pwvi	¿La cítara se toca con pánico ˈpɾatiko?	la ˈƟitaɾa se ˈtoka kom ˈpaniko ˈpɾatiko
pwva	La cítara se toca con pánico ˈpɾatiko.	la ˈƟitaɾa se ˈtoka kom ˈpaniko ˈpɾatiko
pwxi	¿La cítara se toca con obsesión finita?	la ˈƟitaɾa se ˈtoka kon oseˈsjon fiˈnita
pwxa	La cítara se toca con obsesión finita.	la ˈƟitaɾa se ˈtoka kon oseˈsjon fiˈnita
pwzi	¿La cítara se toca con paciencia práctica?	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja ˈpɾatika
pwza	La cítara se toca con paciencia práctica.	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja ˈpɾatika
swki	¿La guitarra española se toca con obsesión?	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kon oseˈsjon
swka	La guitarra española se toca con obsesión.	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kon oseˈsjon
swpi	¿La guitarra española se toca con pánico?	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kom ˈpaniko
swpa	La guitarra española se toca con pánico.	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kom ˈpaniko
swti	¿La guitarra española se toca con paciencia?	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kom paˈƟjenƟja
swta	La guitarra española se toca con paciencia.	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kom paˈƟjenƟja
twbi	¿La guitarra se toca con pánico y con amor?	la ɣ ̞iˈtara se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
twba	La guitarra se toca con pánico y con amor.	la ɣ ̞iˈtara se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
twdi	¿La guitarra se toca con paciencia y con amor?	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
twda	La guitarra se toca con paciencia y con amor.	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
twfi	¿La guitarra se toca con pánico fiˈnito?	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko fiˈnito
twfa	La guitarra se toca con pánico fiˈnito.	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko fiˈnito
twgi	¿La guitarra se toca con obsesión y con amor?	la ɣ ̞iˈtara se ˈtoka kon oseˈsjon i kon aˈmoɾ
twga	La guitarra se toca con obsesión y con amor.	la ɣ ̞iˈtara se ˈtoka kon oseˈsjon i kon aˈmoɾ
twji	¿La guitarra se toca con obsesión práctica?	la ɣ ̞iˈtara se ˈtoka kon oseˈsjon ˈpɾatika
twja	La guitarra se toca con obsesión práctica.	la ɣ ̞iˈtara se ˈtoka kon oseˈsjon ˈpɾatika
twki	¿La guitarra se toca con obsesión?	la ɣ ̞iˈtara se ˈtoka kon oseˈsjon
twka	La guitarra se toca con obsesión.	la ɣ ̞iˈtara se ˈtoka kon oseˈsjon
twpi	¿La guitarra se toca con pánico?	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko
twpa	La guitarra se toca con pánico.	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko
twsi	¿La guitarra se toca con paciencia finita?	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja fiˈnita
twsa	La guitarra se toca con paciencia finita.	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja fiˈnita
twti	¿La guitarra se toca con paciencia?	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja
twta	La guitarra se toca con paciencia.	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja
twvi	¿La guitarra se toca con pánico ˈpɾatiko?	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko ˈpɾatiko
twva	La guitarra se toca con pánico ˈpɾatiko.	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko ˈpɾatiko
twxi	¿La guitarra se toca con obsesión finita?	la ɣ ̞iˈtara se ˈtoka kon oseˈsjon fiˈnita
twxa	La guitarra se toca con obsesión finita.	la ɣ ̞iˈtara se ˈtoka kon oseˈsjon fiˈnita
twzi	¿La guitarra se toca con paciencia práctica?	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja ˈpɾatika
twza	La guitarra se toca con paciencia práctica.	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja ˈpɾatika
vwki	¿La cítara clásica se toca con obsesión?	la ˈƟitaɾa ˈklasika se ˈtoka kon oseˈsjon
vwka	La cítara clásica se toca con obsesión.	la ˈƟitaɾa ˈklasika se ˈtoka kon oseˈsjon
vwpi	¿La cítara clásica se toca con pánico?	la ˈƟitaɾa ˈklasika se ˈtoka kom ˈpaniko
vwpa	La cítara clásica se toca con pánico.	la ˈƟitaɾa ˈklasika se ˈtoka kom ˈpaniko
vwti	¿La cítara clásica se toca con paciencia?	la ˈƟitaɾa ˈklasika se ˈtoka kom paˈƟjenƟja
vwta	La cítara clásica se toca con paciencia.	la ˈƟitaɾa ˈklasika se ˈtoka kom paˈƟjenƟja
xwki	¿El saxofón italiano se toca con obsesión?	el sasoˈfon itaˈljano se ˈtoka kon oseˈsjon
xwka	El saxofón italiano se toca con obsesión.	el sasoˈfon itaˈljano se ˈtoka kon oseˈsjon
xwpi	¿El saxofón italiano se toca con pánico?	el sasoˈfon itaˈljano se ˈtoka kom ˈpaniko
xwpa	El saxofón italiano se toca con pánico.	el sasoˈfon itaˈljano se ˈtoka kom ˈpaniko
xwti	¿El saxofón italiano se toca con paciencia?	el sasoˈfon itaˈljano se ˈtoka kom paˈƟjenƟja
xwta	El saxofón italiano se toca con paciencia.	el sasoˈfon itaˈljano se ˈtoka kom paˈƟjenƟja
zwki	¿La guitarra clásica se toca con obsesión?	la ɣ ̞iˈtara ˈklasika se ˈtoka kon oseˈsjon
zwka	La guitarra clásica se toca con obsesión.	la ɣ ̞iˈtara ˈklasika se ˈtoka kon oseˈsjon
zwpi	¿La guitarra clásica se toca con pánico?	la ɣ ̞iˈtara ˈklasika se ˈtoka kom ˈpaniko
zwpa	La guitarra clásica se toca con pánico.	la ɣ ̞iˈtara ˈklasika se ˈtoka kom ˈpaniko
zwti	¿La guitarra clásica se toca con paciencia?	la ɣ ̞iˈtara ˈklasika se ˈtoka kom paˈƟjenƟja
zwta	La guitarra clásica se toca con paciencia.	la ɣ ̞iˈtara ˈklasika se ˈtoka kom paˈƟjenƟja
