code	orthography	IPA
dwpy	¿Que se toca con pánico la guitarra magrebí?	ke se ˈtoka  kom ˈpaniko la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i
dwti	¿La guitarra magrebí se toca con paciencia?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈƟjenƟja
dwta	La guitarra magrebí se toca con paciencia.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈƟjenƟja
dwty	¿Que se toca con paciencia la guitarra magrebí?	ke se ˈtoka  kom paˈƟjenƟja la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i
fwki	¿La cítara española se toca con obsesión?	la ˈƟitaɾae̯spaˈɲola se ˈtoka kon obseˈsjon
fwka	La cítara española se toca con obsesión.	la ˈƟitaɾae̯spaˈɲola se ˈtoka kon obseˈsjon
fwky	¿Que se toca con obsesión la cítara española?	ke se ˈtoka  kon obseˈsjon la ˈƟitaɾae̯spaˈɲola
fwpi	¿La cítara española se toca con pánico?	la ˈƟitaɾae̯spaˈɲola se ˈtoka kom ˈpaniko
fwpa	La cítara española se toca con pánico.	la ˈƟitaɾae̯spaˈɲola se ˈtoka kom ˈpaniko
fwpy	¿Que se toca con pánico la cítara española?	ke se ˈtoka  kom ˈpaniko la ˈƟitaɾae̯spaˈɲola
fwti	¿La cítara española se toca con paciencia?	la ˈƟitaɾae̯spaˈɲola se ˈtoka kom paˈƟjenƟja
fwta	La cítara española se toca con paciencia.	la ˈƟitaɾae̯spaˈɲola se ˈtoka kom paˈƟjenƟja
fwty	¿Que se toca con paciencia la cítara española?	ke se ˈtoka  kom paˈƟjenƟja la ˈƟitaɾae̯spaˈɲola
gwki	¿El saxofón español se toca con obsesión?	el saksoˈfon espaˈɲol se ˈtoka kon obseˈsjon
gwka	El saxofón español se toca con obsesión.	el saksoˈfon espaˈɲol se ˈtoka kon obseˈsjon
gwky	¿Que se toca con obsesión el saxofón español?	ke se ˈtoka  kon obseˈsjon el saksoˈfon espaˈɲol
gwpi	¿El saxofón español se toca con pánico?	el saksoˈfon espaˈɲol se ˈtoka kom ˈpaniko
gwpa	El saxofón español se toca con pánico.	el saksoˈfon espaˈɲol se ˈtoka kom ˈpaniko
gwpy	¿Que se toca con pánico el saxofón español?	ke se ˈtoka  kom ˈpanikoe̯l saksoˈfon espaˈɲol
gwti	¿El saxofón español se toca con paciencia?	el saksoˈfon espaˈɲol se ˈtoka kom paˈƟjenƟja
gwta	El saxofón español se toca con paciencia..	el saksoˈfon espaˈɲol se ˈtoka kom paˈƟjenƟja
gwty	¿Que se toca con paciencia el saxofón español?	ke se ˈtoka  kom paˈƟjenƟjae̯l saksoˈfon espaˈɲol
jwki	¿El saxofón clásico se toca con obsesión?	el saksoˈfon ˈklasiko se ˈtoka kon obseˈsjon
jwka	El saxofón clásico se toca con obsesión.	el saksoˈfon ˈklasiko se ˈtoka kon obseˈsjon
jwky	¿Que se toca con obsesión el saxofón clásico?	ke se ˈtoka  kon obseˈsjon el saksoˈfon ˈklasiko
jwpi	¿El saxofón clásico se toca con pánico?	el saksoˈfon ˈklasiko se ˈtoka kom ˈpaniko
jwpa	El saxofón clásico se toca con pánico.	el saksoˈfon ˈklasiko se ˈtoka kom ˈpaniko
jwpy	¿Que se toca con pánico el saxofón clásico?	ke se ˈtoka  kom ˈpanikoe̯l saksoˈfon  ˈklasiko
jwti	¿El saxofón clásico se toca con paciencia?	el saksoˈfon ˈklasiko se ˈtoka kom paˈƟjenƟja
jwta	El saxofón clásico se toca con paciencia.	el saksoˈfon ˈklasiko se ˈtoka kom paˈƟjenƟja
jwty	¿Que se toca con paciencia el saxofón clásico?	ke se ˈtoka  kom paˈƟjenƟjae̯l saksoˈfon  ˈklasiko
kwbi	¿El saxofón se toca con pánico y con amor?	el saksoˈfon se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
kwba	El saxofón se toca con pánico y con amor.	el saksoˈfon se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
kwby	¿Que se toca con pánico y con amor el saxofón?	ke se ˈtoka  kom ˈpanikoi̯ kon aˈmoɾ el saksoˈfon
kwdi	¿El saxofón se toca con paciencia y con amor?	el saksoˈfon se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
kwda	El saxofón se toca con paciencia y con amor.	el saksoˈfon se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
kwdy	¿Que se toca con paciencia y con amor el saxofón?	ke se ˈtoka  kom paˈƟjenƟjai̯ kon aˈmoɾ el saksoˈfon
kwfi	¿El saxofón se toca con pánico finito?	el saksoˈfon se ˈtoka kom ˈpaniko fiˈnito
kwfa	El saxofón se toca con pánico finito.	el saksoˈfon se ˈtoka kom ˈpaniko fiˈnito
kwfy	¿Que se toca con pánico finito el saxofón?	ke se ˈtoka  kom ˈpaniko fiˈnitoe̯l saksoˈfon
kwgi	¿El saxofón se toca con obsesión y con amor?	el saksoˈfon se ˈtoka kon obseˈsjon i kon aˈmoɾ
kwga	El saxofón se toca con obsesión y con amor.	el saksoˈfon se ˈtoka kon obseˈsjon i kon aˈmoɾ
kwgy	¿Que se toca con obsesión y con amor el saxofón?	ke se ˈtoka  kon obseˈsjon i kon aˈmoɾ el saksoˈfon
kwji	¿El saxofón se toca con obsesión práctica?	el saksoˈfon se ˈtoka kon obseˈsjon ˈpɾaktika
kwja	El saxofón se toca con obsesión práctica.	el saksoˈfon se ˈtoka kon obseˈsjon ˈpɾaktika
kwjy	¿Que se toca con obsesión práctica el saxofón?	ke se ˈtoka  kon obseˈsjon ˈpɾaktikae̯l saksoˈfon
kwki	¿El saxofón se toca con obsesión?	el saksoˈfon se ˈtoka kon obseˈsjon
kwka	El saxofón se toca con obsesión.	el saksoˈfon se ˈtoka kon obseˈsjon
kwky	¿Que se toca con obsesión el saxofón?	ke se ˈtoka  kon obseˈsjon el saksoˈfon
kwpi	¿El saxofón se toca con pánico?	el saksoˈfon se ˈtoka kom ˈpaniko
kwpa	El saxofón se toca con pánico.	el saksoˈfon se ˈtoka kom ˈpaniko
kwpy	¿Que se toca con pánico el saxofón?	ke se ˈtoka  kom ˈpanikoe̯l saksoˈfon
kwsi	¿El saxofón se toca con paciencia finita?	el saksoˈfon se ˈtoka kom paˈƟjenƟja fiˈnita
kwsa	El saxofón se toca con paciencia finita.	el saksoˈfon se ˈtoka kom paˈƟjenƟja fiˈnita
kwsy	¿Que se toca con paciencia finita el saxofón? 	ke se ˈtoka  kom paˈƟjenƟja fiˈnitae̯l saksoˈfon 
kwti	¿El saxofón se toca con paciencia?	el saksoˈfon se ˈtoka kom paˈƟjenƟja
kwta	El saxofón se toca con paciencia.	el saksoˈfon se ˈtoka kom paˈƟjenƟja
kwty	¿Que se toca con paciencia el saxofón?	ke se ˈtoka  kom paˈƟjenƟjae̯l saksoˈfon
kwvi	¿El saxofón se toca con pánico ˈpɾaktiko?	el saksoˈfon se ˈtoka kom ˈpaniko ˈpɾaktiko
kwva	El saxofón se toca con pánico ˈpɾaktiko.	el saksoˈfon se ˈtoka kom ˈpaniko ˈpɾaktiko
kwvy	¿Que se toca con pánico práctico el saxofón?	ke se ˈtoka  kom ˈpaniko ˈpɾaktikoe̯l saksoˈfon
kwxi	¿El saxofón se toca con obsesión finita?	el saksoˈfon se ˈtoka kon obseˈsjon fiˈnita
kwxa	El saxofón se toca con obsesión finita.	el saksoˈfon se ˈtoka kon obseˈsjon fiˈnita
kwxy	¿Que se toca con obsesión finita el saxofón?	ke se ˈtoka  kon obseˈsjon fiˈnitae̯l saksoˈfon
kwzi	¿El saxofón se toca con paciencia práctica?	el saksoˈfon se ˈtoka kom paˈƟjenƟja ˈpɾaktika
kwza	El saxofón se toca con paciencia práctica.	el saksoˈfon se ˈtoka kom paˈƟjenƟja ˈpɾaktika
kwzy	¿Que se toca con paciencia práctica el saxofón?	ke se ˈtoka  kom paˈƟjenƟja ˈpɾaktikae̯l saksoˈfon
pwbi	¿La cítara se toca con pánico y con amor?	la ˈƟitaɾa se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
pwba	La cítara se toca con pánico y con amor.	la ˈƟitaɾa se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
pwby	¿Que se toca con pánico y con amor la cítara?	ke se ˈtoka  kom ˈpanikoi̯ kon aˈmoɾ la ˈƟitaɾa
pwdi	¿La cítara se toca con paciencia y con amor?	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
pwda	La cítara se toca con paciencia y con amor.	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
pwdy	¿Que se toca con paciencia y con amor la cítara?	ke se ˈtoka  kom paˈƟjenƟjai̯ kon aˈmoɾ la ˈƟitaɾa
pwfi	¿La cítara se toca con pánico fiˈnito?	la ˈƟitaɾa se ˈtoka kom ˈpaniko fiˈnito
pwfa	La cítara se toca con pánico fiˈnito.	la ˈƟitaɾa se ˈtoka kom ˈpaniko fiˈnito
pwfy	¿Que se toca con pánico finito la cítara?	ke se ˈtoka  kom ˈpaniko fiˈnito la ˈƟitaɾa
pwgi	¿La cítara se toca con obsesión y con amor?	la ˈƟitaɾa se ˈtoka kon obseˈsjon i kon aˈmoɾ
pwga	La cítara se toca con obsesión y con amor.	la ˈƟitaɾa se ˈtoka kon obseˈsjon i kon aˈmoɾ
pwgy	¿Que se toca con obsesión y con amor la cítara?	ke se ˈtoka  kon obseˈsjon i kon aˈmoɾ la ˈƟitaɾa
pwji	¿La cítara se toca con obsesión práctica?	la ˈƟitaɾa se ˈtoka kon obseˈsjon ˈpɾaktika
pwja	La cítara se toca con obsesión práctica.	la ˈƟitaɾa se ˈtoka kon obseˈsjon ˈpɾaktika
pwjy	¿Que se toca con obsesión práctica la cítara? 	ke se ˈtoka  kon obseˈsjon ˈpɾaktika la ˈƟitaɾa 
pwki	¿La cítara se toca con obsesión?	la ˈƟitaɾa se ˈtoka kon obseˈsjon
pwka	La cítara se toca con obsesión.	la ˈƟitaɾa se ˈtoka kon obseˈsjon
pwky	¿Que se toca con obsesión la cítara?	ke se ˈtoka  kon obseˈsjon la ˈƟitaɾa
pwpi	¿La cítara se toca con pánico?	la ˈƟitaɾa se ˈtoka kom ˈpaniko
pwpa	La cítara se toca con pánico.	la ˈƟitaɾa se ˈtoka kom ˈpaniko
pwpy	¿Que se toca con pánico la cítara?	ke se ˈtoka  kom ˈpaniko la ˈƟitaɾa
pwsi	¿La cítara se toca con paciencia finita?	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja fiˈnita
pwsa	La cítara se toca con paciencia finita.	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja fiˈnita
pwsy	¿Que se toca con paciencia finita la cítara?	ke se ˈtoka  kom paˈƟjenƟja fiˈnita la ˈƟitaɾa
pwti	¿La cítara se toca con paciencia?	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja
pwta	La cítara se toca con paciencia.	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja
pwty	¿Que se toca con paciencia la cítara?	ke se ˈtoka  kom paˈƟjenƟja la ˈƟitaɾa
pwvi	¿La cítara se toca con pánico ˈpɾaktiko?	la ˈƟitaɾa se ˈtoka kom ˈpaniko ˈpɾaktiko
pwva	La cítara se toca con pánico ˈpɾaktiko.	la ˈƟitaɾa se ˈtoka kom ˈpaniko ˈpɾaktiko
pwvy	¿Que se toca con pánico práctico la cítara?	ke se ˈtoka  kom ˈpaniko ˈpɾaktiko la ˈƟitaɾa
pwxi	¿La cítara se toca con obsesión finita?	la ˈƟitaɾa se ˈtoka kon obseˈsjon fiˈnita
pwxa	La cítara se toca con obsesión finita.	la ˈƟitaɾa se ˈtoka kon obseˈsjon fiˈnita
pwxy	¿Que se toca con obsesión finita la cítara?	ke se ˈtoka  kon obseˈsjon fiˈnita la ˈƟitaɾa
pwzi	¿La cítara se toca con paciencia práctica?	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja ˈpɾaktika
pwza	La cítara se toca con paciencia práctica.	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟja ˈpɾaktika
pwzy	¿Que se toca con paciencia práctica la cítara?	ke se ˈtoka  kom paˈƟjenƟja ˈpɾaktika la ˈƟitaɾa
swki	¿La guitarra española se toca con obsesión?	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kon obseˈsjon
swka	La guitarra española se toca con obsesión.	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kon obseˈsjon
swky	¿Que se toca con obsesión la guitarra española?	ke se ˈtoka  kon obseˈsjon la ɣ ̞iˈtarae̯spaˈɲola
swpi	¿La guitarra española se toca con pánico?	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kom ˈpaniko
swpa	La guitarra española se toca con pánico.	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kom ˈpaniko
swpy	¿Que se toca con pánico la guitarra española?	ke se ˈtoka  kom ˈpaniko la ɣ ̞iˈtarae̯spaˈɲola
swti	¿La guitarra española se toca con paciencia?	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kom paˈƟjenƟja
swta	La guitarra española se toca con paciencia.	la ɣ ̞iˈtarae̯spaˈɲola se ˈtoka kom paˈƟjenƟja
swty	¿Que se toca con paciencia la guitarra española?	ke se ˈtoka  kom paˈƟjenƟja la ɣ ̞iˈtarae̯spaˈɲola
twbi	¿La guitarra se toca con pánico y con amor?	la ɣ ̞iˈtara se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
twba	La guitarra se toca con pánico y con amor.	la ɣ ̞iˈtara se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
twby	¿Que se toca con pánico y con amor la guitarra?	ke se ˈtoka  kom ˈpanikoi̯ kon aˈmoɾ la ɣ ̞iˈtara
twdi	¿La guitarra se toca con paciencia y con amor?	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
twda	La guitarra se toca con paciencia y con amor.	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
twdy	¿Que se toca con paciencia y con amor la guitarra?	ke se ˈtoka  kom paˈƟjenƟjai̯ kon aˈmoɾ la ɣ ̞iˈtara
twfi	¿La guitarra se toca con pánico fiˈnito?	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko fiˈnito
twfa	La guitarra se toca con pánico fiˈnito.	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko fiˈnito
twfy	¿Que se toca con pánico finito la guitarra?	ke se ˈtoka  kom ˈpaniko fiˈnito la ɣ ̞iˈtara
twgi	¿La guitarra se toca con obsesión y con amor?	la ɣ ̞iˈtara se ˈtoka kon obseˈsjon i kon aˈmoɾ
twga	La guitarra se toca con obsesión y con amor.	la ɣ ̞iˈtara se ˈtoka kon obseˈsjon i kon aˈmoɾ
twgy	¿Que se toca con obsesión y con amor la guitarra?	ke se ˈtoka  kon obseˈsjon i kon aˈmoɾ la ɣ ̞iˈtara
twji	¿La guitarra se toca con obsesión práctica?	la ɣ ̞iˈtara se ˈtoka kon obseˈsjon ˈpɾaktika
twja	La guitarra se toca con obsesión práctica.	la ɣ ̞iˈtara se ˈtoka kon obseˈsjon ˈpɾaktika
twjy	¿Que se toca con obsesión práctica la guitarra?	ke se ˈtoka  kon obseˈsjon ˈpɾaktika la ɣ ̞iˈtara
twki	¿La guitarra se toca con obsesión?	la ɣ ̞iˈtara se ˈtoka kon obseˈsjon
twka	La guitarra se toca con obsesión.	la ɣ ̞iˈtara se ˈtoka kon obseˈsjon
twky	¿Que se toca con obsesión la guitarra?	ke se ˈtoka  kon obseˈsjon la ɣ ̞iˈtara
twpi	¿La guitarra se toca con pánico?	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko
twpa	La guitarra se toca con pánico.	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko
twpy	¿Que se toca con pánico la guitarra?	ke se ˈtoka  kom ˈpaniko la ɣ ̞iˈtara
twsi	¿La guitarra se toca con paciencia finita?	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja fiˈnita
twsa	La guitarra se toca con paciencia finita.	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja fiˈnita
twsy	¿Que se toca con paciencia finita la guitarra?	ke se ˈtoka  kom paˈƟjenƟja fiˈnita la ɣ ̞iˈtara
twti	¿La guitarra se toca con paciencia?	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja
twta	La guitarra se toca con paciencia.	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja
twty	¿Que se toca con paciencia la guitarra?	ke se ˈtoka  kom paˈƟjenƟja la ɣ ̞iˈtara
twvi	¿La guitarra se toca con pánico ˈpɾaktiko?	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko ˈpɾaktiko
twva	La guitarra se toca con pánico ˈpɾaktiko.	la ɣ ̞iˈtara se ˈtoka kom ˈpaniko ˈpɾaktiko
twvy	¿Que se toca con pánico práctico la guitarra?	ke se ˈtoka  kom ˈpaniko ˈpɾaktiko la ɣ ̞iˈtara
twxi	¿La guitarra se toca con obsesión finita?	la ɣ ̞iˈtara se ˈtoka kon obseˈsjon fiˈnita
twxa	La guitarra se toca con obsesión finita.	la ɣ ̞iˈtara se ˈtoka kon obseˈsjon fiˈnita
twxy	¿Que se toca con obsesión finita la guitarra?	ke se ˈtoka  kon obseˈsjon fiˈnita la ɣ ̞iˈtara
twzi	¿La guitarra se toca con paciencia práctica?	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja ˈpɾaktika
twza	La guitarra se toca con paciencia práctica.	la ɣ ̞iˈtara se ˈtoka kom paˈƟjenƟja ˈpɾaktika
twzy	¿Que se toca con paciencia práctica la guitarra?	ke se ˈtoka  kom paˈƟjenƟja ˈpɾaktika la ɣ ̞iˈtara
vwki	¿La cítara clásica se toca con obsesión?	la ˈƟitaɾa ˈklasika se ˈtoka kon obseˈsjon
vwka	La cítara clásica se toca con obsesión.	la ˈƟitaɾa ˈklasika se ˈtoka kon obseˈsjon
vwky	¿Que se toca con obsesión la cítara clásica?	ke se ˈtoka  kon obseˈsjon la ˈƟitaɾa  ˈklasika
vwpi	¿La cítara clásica se toca con pánico?	la ˈƟitaɾa ˈklasika se ˈtoka kom ˈpaniko
vwpa	La cítara clásica se toca con pánico.	la ˈƟitaɾa ˈklasika se ˈtoka kom ˈpaniko
vwpy	¿Que se toca con pánico la cítara clásica?	ke se ˈtoka  kom ˈpaniko la ˈƟitaɾa  ˈklasika
vwti	¿La cítara clásica se toca con paciencia?	la ˈƟitaɾa ˈklasika se ˈtoka kom paˈƟjenƟja
vwta	La cítara clásica se toca con paciencia.	la ˈƟitaɾa ˈklasika se ˈtoka kom paˈƟjenƟja
vwty	¿Que se toca con paciencia la cítara clásica?	ke se ˈtoka  kom paˈƟjenƟja la ˈƟitaɾa  ˈklasika
xwki	¿El saxofón italiano se toca con obsesión?	el saksoˈfon itaˈljano se ˈtoka kon obseˈsjon
xwka	El saxofón italiano se toca con obsesión.	el saksoˈfon itaˈljano se ˈtoka kon obseˈsjon
xwky	¿Que se toca con obsesión el saxofón italiano?	ke se ˈtoka  kon obseˈsjon el saksoˈfon itaˈljano
xwpi	¿El saxofón italiano se toca con pánico?	el saksoˈfon itaˈljano se ˈtoka kom ˈpaniko
xwpa	El saxofón italiano se toca con pánico.	el saksoˈfon itaˈljano se ˈtoka kom ˈpaniko
xwpy	¿Que se toca con pánico el saxofón italiano?	ke se ˈtoka  kom ˈpanikoe̯l saksoˈfon itaˈljano
xwti	¿El saxofón italiano se toca con paciencia?	el saksoˈfon itaˈljano se ˈtoka kom paˈƟjenƟja
xwta	El saxofón italiano se toca con paciencia.	el saksoˈfon itaˈljano se ˈtoka kom paˈƟjenƟja
xwty	¿Que se toca con paciencia el saxofón italiano?	ke se ˈtoka  kom paˈƟjenƟjae̯l saksoˈfon itaˈljano
zwki	¿La guitarra clásica se toca con obsesión?	la ɣ ̞iˈtara ˈklasika se ˈtoka kon obseˈsjon
zwka	La guitarra clásica se toca con obsesión.	la ɣ ̞iˈtara ˈklasika se ˈtoka kon obseˈsjon
zwky	¿Que se toca con obsesión la guitarra clásica?	ke se ˈtoka  kon obseˈsjon la ɣ ̞iˈtara  ˈklasika
zwpi	¿La guitarra clásica se toca con pánico?	la ɣ ̞iˈtara ˈklasika se ˈtoka kom ˈpaniko
zwpa	La guitarra clásica se toca con pánico.	la ɣ ̞iˈtara ˈklasika se ˈtoka kom ˈpaniko
zwpy	¿Que se toca con pánico la guitarra clásica?	ke se ˈtoka  kom ˈpaniko la ɣ ̞iˈtara  ˈklasika
zwti	¿La guitarra clásica se toca con paciencia?	la ɣ ̞iˈtara ˈklasika se ˈtoka kom paˈƟjenƟja
zwta	La guitarra clásica se toca con paciencia.	la ɣ ̞iˈtara ˈklasika se ˈtoka kom paˈƟjenƟja
zwty	¿Que se toca con paciencia la guitarra clásica?	ke se ˈtoka  kom paˈƟjenƟja la ɣ ̞iˈtara  ˈklasika
